id	GSM1248759_con	GSM1248760_con	GSM1248761_con	GSM1248762_con	GSM1248763_con	GSM1248764_con	GSM1248765_con	GSM1248766_con	GSM1248767_con	GSM1248768_con	GSM2627518_con	GSM2627519_con	GSM2627520_con	GSM2627521_con	GSM2627522_con	GSM2627523_con	GSM2627524_con	GSM2627525_con	GSM2627526_con	GSM2627527_con	GSM2627528_con	GSM2627529_con	GSM1248769_treat	GSM1248770_treat	GSM1248771_treat	GSM1248772_treat	GSM1248773_treat	GSM1248774_treat	GSM1248775_treat	GSM1248776_treat	GSM1248777_treat	GSM1248778_treat	GSM1248779_treat	GSM1248780_treat	GSM1248781_treat	GSM1248782_treat	GSM1248783_treat	GSM1248784_treat	GSM1248785_treat	GSM1248786_treat	GSM1248787_treat	GSM1248788_treat	GSM1248789_treat	GSM1248790_treat	GSM1248791_treat	GSM1248792_treat	GSM1248793_treat	GSM1248794_treat	GSM1248795_treat	GSM1248796_treat	GSM1248797_treat	GSM1248798_treat	GSM1248799_treat	GSM1248800_treat	GSM1248801_treat	GSM1248802_treat	GSM1248803_treat	GSM1248804_treat	GSM1248805_treat	GSM1248806_treat	GSM1248807_treat	GSM1248808_treat	GSM2627530_treat	GSM2627531_treat	GSM2627532_treat	GSM2627533_treat	GSM2627534_treat	GSM2627535_treat	GSM2627536_treat	GSM2627537_treat	GSM2627538_treat	GSM2627539_treat	GSM2627540_treat	GSM2627541_treat
HIST1H2AL	3.07654173	3.529181727	5.87619545	5.82429583	5.63985746	3.195551379	3.132392402	6.04307539	5.843129358	5.4259103712	3.521991143	5.68787271	3.26311464	4.06154949	5.36297643	3.64123091	3.84124235	4.004689	5.14130311	5.6233195	3.38759472	4.90702104	3.98431791	3.49289081	3.18531572	3.08667971	2.25440523	2.58490845	2.7910002788	4.7842553	2.587792753	3.066861654	2.14181832	2.82169183	2.71880062	2.681517099	3.93592333	5.67624102	2.06655621	2.859777946	2.2795095	3.4603991	4.24068077	4.32269589	3.962794012	3.40649918	5.710161772	4.669086792	3.583290451	2.953627927	2.2735204	2.84759722	3.344838951	3.69901441	4.50991371	3.76278096	5.80385852	6.27808092	3.324016308	2.809753054	3.7835764202	3.75969933	3.9945863	3.42758999	3.03764563	2.21624119	3.6638293	3.54590419	2.66827125	2.61155878	3.01877992	3.09231303	4.54072315	2.13263338
PRG2	3.85870115	3.461692703	6.37655835	8.10204897	5.6421933	3.420843542	3.623028958	6.84348384	7.3197826912	5.6565605306	3.966608774	3.25397742	4.07446191	4.43485343	4.05108445	3.53659919	2.50277707	3.181555	3.23360629	2.9833425	4.771781397	2.90540623	4.85283187	2.61313401	2.78620382	4.70864568	3.16376894	2.941293601	2.7271107193	5.76711895	2.282961778	3.167907068	3.04872357	3.52327455	2.859125423	2.851034626	2.66057273	5.83544733	2.43586925	2.44342936	4.31622438	2.180710926	3.23597434	2.90720373	3.102351333	3.59588183	2.959336663	3.294307703	2.997800685	2.196604434	2.69954302	3.12044319	3.176244394	3.15589138	2.92632427	2.90901529	2.982955971	2.77081301	2.910438874	2.437101686	2.5031676504	3.99769991	3.5293478	3.54726438	4.64082112	3.88562203	3.0403322	3.6510814	3.85700871	3.5163239	4.0586336	3.46091471	3.91676463	2.60366018
EMX2OS	2.98939478	2.857444015	3.70860084	3.09761111	3.6964678	-1.511288556	-1.511288556	1.24940932	-0.0679134436	2.0342337186	3.253583309	4.28844363	2.80097128	3.46228718	3.60350332	2.69843933	3.34704613	4.102279	3.20936082	2.9291754	3.965938137	2.68462511	4.98383386	5.10430579	5.36677768	5.06165862	4.79873366	5.187874333	5.0356023555	4.40111227	5.031668783	3.935300259	5.1124865	4.56668023	3.960059351	4.80257279	4.54126315	3.94084241	4.04283145	4.374247144	5.25679446	5.215148	3.13979683	2.92798092	4.021219982	2.94288631	2.778018561	2.568805988	3.475717344	1.76889144	2.10214053	3.83967855	2.3981571	3.91347689	2.37819051	3.60625081	2.832437891	3.59115897	2.528233479	3.284102862	3.2715926844	3.79165112	2.9237426	3.68063064	3.57847913	4.44482983	3.3547785	2.92883482	3.87461897	3.88841044	3.64354263	3.12097103	3.1453174	3.35516374
MPO	4.96681172	4.746655243	9.93148134	9.93148134	9.93148134	4.042270312	4.803290602	9.93148134	9.9314813351	9.9314813351	4.250609451	3.34665838	4.30700985	5.3133717	4.07787735	3.75079441	2.93213896	4.371328	3.1029104	3.711246	4.485453724	2.60967035	8.26688651	1.98830903	1.74326815	6.07544517	2.73747187	2.53425404	2.6103221058	8.60552728	2.423361674	3.737502524	2.52702881	4.0379191	3.050780343	3.605399381	2.00527073	7.72048276	3.60564811	2.297922072	4.42696591	1.876233241	3.78782101	2.64703805	2.622693126	3.79415576	2.668557218	2.681478178	1.653694571	3.176333646	3.15873435	2.89488066	3.279174336	2.53650056	2.54520838	3.05326509	2.30850763	2.13466577	2.339698754	2.804037444	2.2305270036	5.29420254	5.2070254	4.7374055	5.23663513	5.4589371	4.732296	4.22027369	4.59064788	3.82401611	4.26535307	3.94314316	4.94563416	3.17451347
PADI4	2.67247931	2.377261139	4.72957619	5.04081167	4.58656438	2.458906696	2.272786234	4.60200725	4.8875305104	4.5308973252	1.985049427	2.64266887	1.81871951	3.01379984	2.38542844	2.94224545	1.88509198	0.9420018	2.16851683	2.7263095	2.511455131	1.24349958	3.74619792	1.60441788	1.25144277	1.8773047	1.710315	1.382268379	1.3994498202	5.91696703	1.611367117	2.14816408	0.93496474	1.78779607	0.8797034	0.724372647	1.58004473	4.9806646	1.09910587	0.384279052	4.14701632	0.795451099	0.32348236	1.21141593	0.71359656	0.99267641	1.030063765	3.457861426	0.481328004	1.286656198	2.09952644	0.78031079	0.999236415	0.91894549	1.30800158	1.5473605	1.919101476	1.79270466	0.740703787	1.669999918	0.9088290577	3.33281705	1.4486244	1.65509973	2.45666845	1.67822892	2.1694592	1.88234234	1.7667784	2.14486564	1.45645959	2.04821024	3.08501692	2.08269559
NOX5	3.85261591	3.250715999	2.69719277	3.91608657	2.68351107	3.466902167	4.090965069	2.90979178	4.3969988336	3.1114616243	4.592990582	4.45273295	4.26289737	4.6489691	5.21015604	4.44667513	4.67893671	5.073293	4.93638992	4.5148941	5.960228837	3.71676251	5.46443376	4.52061478	4.39009433	3.53968941	4.44646334	5.928974393	3.3322993868	4.56133395	5.004109392	5.005420306	4.49639411	4.08834739	4.880084852	3.74101049	3.29539076	1.92001285	6.62511174	4.606946485	3.63180527	4.547087484	5.52465231	5.00720076	6.704063403	7.84101409	6.540411571	5.972944885	8.016118599	6.174333831	7.47873028	4.87347466	6.713205918	4.97345243	6.69804923	7.41817161	4.947348456	5.26613568	7.158187515	7.873193143	4.9859283356	5.35136998	5.3906926	4.85315216	5.4898241	5.90191482	5.478087	4.53504168	5.24469204	5.34972503	5.00164393	4.8419245	5.07329284	4.94611679
S100P	4.9113821	5.112210357	5.61075617	5.73082982	7.15390298	4.534926038	4.70905304	5.93182613	5.9025214472	7.1539029839	3.201953249	3.27471144	2.24679534	2.77496595	2.87996629	2.94668439	3.23773936	2.938341	2.33301431	2.8330567	6.602825296	2.85186741	4.54929115	3.12490551	2.29171645	3.28184235	2.12781402	2.594308889	2.5440894767	6.01858867	2.069938356	3.09465955	2.31122185	3.24805992	2.145446593	2.616746567	2.27125031	6.36128956	1.94679751	2.077348727	4.54447052	1.469103568	2.12627763	2.84348407	3.008065746	3.23402737	2.947486918	2.93180331	2.67830623	2.695457784	2.45090453	2.6598031	2.382844359	2.57329342	3.27443808	2.26092236	2.377231915	2.78963352	1.896666264	2.603964009	2.2528101424	4.9113821	3.6964633	3.681653	3.89959688	5.35946372	3.8698907	4.50650346	2.81143545	3.07133871	2.76067714	3.19446379	4.19120206	3.02970591
PTX3	6.93054684	6.554914647	3.56344345	3.94987856	3.975426	6.613201161	6.613201161	3.28494449	2.7766856021	3.9173710737	2.609915422	3.67264017	2.4954398	3.04876127	4.33391856	2.82354274	1.18706389	2.728105	2.71056007	2.4051534	2.956219053	2.38695881	1.8256417	2.5664356	4.5475691	2.65628394	1.62736187	1.604168819	1.1124005134	2.1893023	1.420190025	1.428943848	0.29608049	0.42860172	2.95632221	2.289993558	3.26021231	1.06115024	2.87390342	2.886245547	1.54330057	1.928702232	3.35457718	2.17183646	2.781978097	2.32456372	2.696801775	2.936051282	2.797108609	2.27316524	2.41026394	3.08378424	4.296340025	4.08941407	1.35709021	2.36929401	2.558484422	2.86341617	3.765480254	3.937840561	1.5649301595	1.76897817	4.314312	3.30031977	4.54079916	2.56856096	3.4785927	2.72810463	1.86630355	2.17250899	2.33544096	2.38230717	3.54078532	2.05672865
STMN2	1.81270395	1.722328809	-1.02604548	0.03264498	2.63822456	1.788474684	1.750463069	3.9461796	-0.0661074891	2.3590039233	4.965391608	2.96149458	5.11592025	4.29071603	2.73005327	2.76333334	4.68720638	2.933705	3.58258232	3.499912	4.456814424	1.58045846	2.49973366	3.09700308	1.81449058	1.77175402	1.35171615	7.517468037	2.9380027798	0.93818124	0.773297192	2.375726059	1.70676068	1.85927725	3.029076522	2.290542158	2.15308453	3.99634425	1.82083514	1.472330807	4.38330327	1.946760477	8.40433734	8.06499836	7.18538481	9.73302522	7.676104531	6.907924536	7.390457691	4.68117488	8.06499836	8.06499836	7.676104531	6.15486301	9.73302522	8.40433734	6.688133187	6.68813319	8.814606743	8.064998361	9.7330252219	5.17271563	4.8050614	4.80654917	4.11470003	3.41235549	5.0425099	7.33174174	4.44575758	5.69993042	4.58665213	6.14948042	2.93342826	6.50523661
C10orf10	5.70972966	5.663744044	4.67575646	4.75198492	4.43403342	5.867291663	5.741454297	4.38816887	2.5673979284	4.6020907782	2.680211181	5.83888184	2.9249455	4.78324823	2.67123128	5.5396038	4.41725394	4.339796	2.63316116	4.9271943	1.722168079	5.91489414	3.69521636	5.03342312	7.12876499	4.66707837	5.07288236	3.91690932	3.7189785579	3.29920895	3.847993608	3.262530658	4.00997173	3.38891022	3.85908047	4.152254966	5.20590851	3.8247711	2.90429045	3.086767024	3.88193731	4.022811592	2.40804901	3.54846267	3.04666848	2.61324874	1.885231163	3.118588321	2.494775346	3.261719961	2.77173559	2.38960333	2.395751997	2.19616281	2.84063582	3.21681218	3.595539837	2.24585234	1.770887135	2.407020195	2.1566568362	2.20908937	3.4081394	3.57371515	3.06918754	1.90107719	3.2296959	3.76987966	3.36776631	3.50941282	4.36025211	2.29397243	3.83900695	2.68021118
